time,gas
2017-11-29 08:00:00,0.559
2017-11-29 09:00:00,1.344
2017-11-29 10:00:00,0.224
2017-11-29 11:00:00,0.224
2017-11-29 12:00:00,0.112
2017-11-29 13:00:00,0.224
2017-11-29 14:00:00,0.0
2017-11-29 15:00:00,0.224
2017-11-29 16:00:00,0.224
2017-11-29 17:00:00,0.223
2017-11-29 18:00:00,0.224
2017-11-29 19:00:00,0.224
2017-11-29 20:00:00,0.224
2017-11-29 21:00:00,0.336
2017-11-29 22:00:00,0.223
2017-11-29 23:00:00,0.784
2017-11-30 00:00:00,26.405
2017-11-30 01:00:00,16.896
2017-11-30 02:00:00,10.072
2017-11-30 03:00:00,6.604
2017-11-30 04:00:00,10.63
2017-11-30 05:00:00,10.186
2017-11-30 06:00:00,8.951
2017-11-30 07:00:00,9.292
2017-11-30 08:00:00,8.503
2017-11-30 09:00:00,8.058
2017-11-30 10:00:00,1.007
2017-11-30 11:00:00,0.448
2017-11-30 12:00:00,0.223
2017-11-30 13:00:00,0.224
2017-11-30 14:00:00,1.12
2017-11-30 15:00:00,2.014
2017-11-30 16:00:00,2.237
2017-11-30 17:00:00,2.015
2017-11-30 18:00:00,2.685
2017-11-30 19:00:00,1.792
2017-11-30 20:00:00,3.133
2017-11-30 21:00:00,4.586
2017-11-30 22:00:00,3.581
2017-11-30 23:00:00,3.69
2017-12-01 00:00:00,3.582
2017-12-01 01:00:00,3.582
2017-12-01 02:00:00,3.133
2017-12-01 03:00:00,2.35
2017-12-01 04:00:00,2.91
2017-12-01 05:00:00,4.031
2017-12-01 06:00:00,3.58
2017-12-01 07:00:00,3.021
2017-12-01 08:00:00,2.573
2017-12-01 09:00:00,4.028
2017-12-01 10:00:00,3.133
2017-12-01 11:00:00,2.909
2017-12-01 12:00:00,3.133
2017-12-01 13:00:00,3.022
2017-12-01 14:00:00,3.131
2017-12-01 15:00:00,2.906
2017-12-01 16:00:00,3.693
2017-12-01 17:00:00,3.469
2017-12-01 18:00:00,10.625
2017-12-01 19:00:00,5.932
2017-12-01 20:00:00,6.492
2017-12-01 21:00:00,6.827
2017-12-01 22:00:00,7.386
